committees_nov8.com_nam,committees_nov8.com_id,filings_nov8.can_id
A WHOLE LOT OF PEOPLE FOR GRIJALVA CONGRESSIONAL COMMITTEE,C00374058,H2AZ07070
ABEL MALDONADO FOR CONGRESS,C00493379,H2CA23106
ADAM HASNER FOR US HOUSE,C00495531,H2FL22098
ADAM SMITH FOR CONGRESS COMMITTEE,C00304709,H6WA09025
ADKINS FOR CONGRESSS,C00514018,H2KY04139
ADRIAN SMITH FOR CONGRESS,C00412890,H6NE03115
AHMAD FOR US SENATE,C00525857,S8MD00088
AL GREEN FOR CONGRESS,C00396028,H4TX09095
AL LAWSON FOR CONGRESS,C00460261,H0FL02086
ALAN AVERSA FOR CONGRESS,C00531715,H2AZ02295
ALAN LOWENTHAL FOR CONGRESS,C00498212,H2CA00104
ALAN WOODRUFF FOR CONGRESS,C00505479,H2TN01072
ALASKANS FOR DON YOUNG INC.,C00012229,H6AK00045
ALEX PIRES FOR U S SENATE,C00521989,S2DE00080
ALLEN WEST FOR CONGRESS,C00435628,H8FL22038
ALLYSON SCHWARTZ FOR CONGRESS,C00389197,H4PA13124
AMERICANS FOR MURRAY,C00472050,H0VA08149
AMODEI FOR NEVADA,C00496760,H2NV02395
ANDERSON FOR CONGRESS,C00502302,H2GA12105
ANDRE CARSON FOR CONGRESS,C00442921,H8IN07184
ANDREW BEACHAM FOR CONGRESS,C00531541,H2KY02117
ANDREWS FOR CONGRESS,C00243428,H0NJ01066
"ANDY BARR FOR CONGRESS, INC.",C00467571,H0KY06104
ANDY HARRIS FOR CONGRESS,C00435974,H8MD01094
ANDY SCHMOOKLER FOR CONGRESS,C00498410,H2VA06180
ANGEL FOR CONGRESS 2012,C00531566,H2FL26065
ANGELA MICHAEL FOR CONGRESS,C00511816,H2IL15083
ANGELA ZIMMANN FOR CONGRESS,C00505909,H2OH05021
ANGUS KING FOR US SENATE CAMPAIGN,C00516047,S2ME00109
ANN MARIE BUERKLE FOR CONGRESS,C00473751,H0NY25078
ANN WAGNER FOR CONGRESS,C00495846,H2MO02102
ANNA ESHOO FOR CONGRESS,C00258475,H8CA12098
ARCHER FOR CONGRESS,C00498402,H2IA02053
ART ROBINSON FOR CONGRESS,C00481341,H0OR04081
AUSTIN SCOTT FOR CONGRESS INC,C00482737,H0GA08099
BACHMANN FOR CONGRESS,C00410118,H6MN06074
BACHMANN FOR CONGRESS,C00410118,H6MN06074
BACHUS FOR CONGRESS COMMITTEE,C00260547,H2AL06035
BADEY FOR CONGRESS,C00512756,H2PA07070
BARBARA CARRASCO FOR CONGRESS COMMITTEE,C00504811,H2TX16193
BARBARA LEE FOR CONGRESS,C00331769,H8CA09060
BARNES FOR CONGRESS,C00504068,H2MN03070
BARRON FOR US SENATE,C00517482,S2UT00187
BARTLETT FOR CONGRESS COMMITTEE,C00255190,H2MD06054
BASS VICTORY COMMITTEE,C00302570,H0NH02017
BEATTY FOR CONGRESS,C00507368,H2OH03125
BEAVEN FOR CONGRESS,C00515106,H0FL07077
BECERRA FOR CONGRESS,C00264101,H2CA30143
BECKER FOR CONGRESS,C00484774,H0NY04099
BEN CARDIN FOR SENATE,C00411587,S6MD03177
BEN CHANDLER FOR CONGRESS,C00393512,H4KY06072
BEN FRASIER FOR CONGRESS,C00479758,H6SC01136
BEN FRASIER FOR CONGRESS,C00479758,H6SC01136
BEN NELSON 2012,C00432401,S6NE00095
"BENISHEK FOR CONGRESS, INC.",C00476325,H0MI01088
BERA FOR CONGRESS,C00461061,H0CA03078
BERG FOR SENATE,C00496703,S2ND00073
BERGERON FOR CONGRESS,C00510503,H2CO05083
BERKLEY FOR SENATE,C00325738,S2NV00209
BERMAN FOR CONGRESS,C00147686,H2CA26026
